actor_episodes,actor_steps,env_reset_duration_sec,env_step_duration_sec,episode_duration,episode_length,episode_return,evaluator_episodes,evaluator_steps,select_action_duration_sec,steps_per_second
2,2551,0.5206689834594727,0.13097854995209238,248.56373023986816,1472,88.0,1,1472,0.03656669268789499,5.922038085454128
8,12426,0.1059122085571289,0.13026370073769664,189.84400057792664,1171,44.0,2,2643,0.031671542168477985,6.168326897854122
12,17550,0.15131688117980957,0.07238091718675654,196.4118893146515,1958,352.0,3,4601,0.027772411627959424,9.968895670627367
15,22147,0.07976198196411133,0.03811007051144616,69.7398772239685,1180,176.0,4,5781,0.02084546190197185,16.92017067918219
17,26233,0.037837982177734375,0.03800861965175028,100.77420377731323,1728,660.0,5,7509,0.020152901885686098,17.147382378272948
18,27515,0.1093142032623291,0.04038267549420409,75.19640755653381,1233,88.0,6,8742,0.020429549909469467,16.39721052636385
19,28976,0.08073210716247559,0.03728264570236206,68.45987629890442,1200,440.0,7,9942,0.01957165598869324,17.528664043067156
20,30562,0.05528712272644043,0.038092848550803714,109.15103101730347,1853,616.0,8,11795,0.020704070233809775,16.976607714312983
22,33790,0.07957220077514648,0.037644243240356444,136.90956473350525,2370,660.0,9,14165,0.020005383471396403,17.310825211046822
25,39201,0.07773756980895996,0.0382073015835395,150.51000308990479,2562,756.0,10,16727,0.020431461416120924,17.022253208581326
27,43523,0.05398297309875488,0.037519747159296415,103.18959879875183,1782,660.0,11,18509,0.020271600296200325,17.269328562543045
29,46843,0.05571556091308594,0.03852576390527952,105.63303995132446,1805,528.0,12,20314,0.019882834585089434,17.08759804669874
30,48423,0.12152361869812012,0.03897576073599247,102.47870373725891,1734,616.0,13,22048,0.01996037924303453,16.920722383494383
33,53490,0.025850296020507812,0.03892674956220092,141.78142166137695,2393,804.0,14,24441,0.02023303224808294,16.878219525752673
34,54974,0.023611068725585938,0.04111073659845146,81.32819843292236,1328,352.0,15,25769,0.020035073879253434,16.32901833435342
35,57048,0.08221888542175293,0.0393895782450194,89.21105027198792,1488,440.0,16,27257,0.020431075845995256,16.679669347925103
38,61695,0.05009269714355469,0.03741768469793871,65.49699997901917,1148,308.0,17,28405,0.019483161304885917,17.527688280415667
39,63084,0.015846967697143555,0.04069217483968884,67.16450881958008,1089,220.0,18,29494,0.020883699860235656,16.214064582674304
40,65095,0.028528213500976562,0.036749663660603185,106.77182793617249,1860,396.0,19,31354,0.0205619433874725,17.420441371563758
40,65095,0.024634599685668945,0.036720416081608316,71.89978265762329,1289,528.0,20,32643,0.018962377721344067,17.927884543006254
43,69477,0.04349327087402344,0.038827595078801534,123.71730518341064,2075,660.0,21,34718,0.02069432120725333,16.772244852120004
46,74733,0.13071846961975098,0.04020536025569494,116.70455527305603,1945,616.0,22,36663,0.019639327041900558,16.66613059282246
47,76542,0.022315025329589844,0.03796174197933107,82.09135580062866,1438,396.0,23,38101,0.019031739367563305,17.517514393193586
50,80354,0.04023480415344238,0.038571136472301634,98.3393874168396,1653,264.0,24,39754,0.020811762149162315,16.80926794873285
50,80354,0.023124217987060547,0.03839898403993873,80.13248348236084,1376,528.0,25,41130,0.01970114437646644,17.17170839587564
53,85530,0.0514063835144043,0.041344832936558155,87.44445729255676,1417,440.0,26,42547,0.020210678003670553,16.204711700862006
56,88948,0.02581334114074707,0.03663848216165107,81.34223675727844,1462,528.0,27,44009,0.018904839918812387,17.973588926238065
57,89897,0.048285484313964844,0.0388870583300806,88.63119602203369,1483,484.0,28,45492,0.02075239604016212,16.73241001339332
57,89897,0.024377107620239258,0.04081720483114769,50.65914273262024,823,308.0,29,46315,0.020623818637389026,16.245990049275644
60,94329,0.09975814819335938,0.03916854019008874,158.06903529167175,2687,660.0,30,49002,0.01954459966582173,16.9990123310039
62,97376,0.03378915786743164,0.03740425631890889,107.22358298301697,1836,616.0,31,50838,0.020899558508837665,17.12321971532451
64,100678,0.04575848579406738,0.03965305363545652,73.7343864440918,1220,308.0,32,52058,0.020668406173831127,16.54601671817222
66,103757,0.0177919864654541,0.0366263445404461,84.586984872818,1495,528.0,33,53553,0.019866408472475797,17.674266130408665
66,103757,0.08491253852844238,0.03823337001373229,57.79159069061279,982,264.0,34,54535,0.020442320470168973,16.992253977703655
69,107621,0.02567434310913086,0.03988802055117033,83.331538438797,1388,616.0,35,55923,0.020028275955650925,16.656471891222452
70,109268,0.1102912425994873,0.039242081766754595,92.14922761917114,1569,484.0,36,57492,0.019339508581799714,17.026859186419962
73,113645,0.04597759246826172,0.03907615546893357,78.1108033657074,1330,528.0,37,58822,0.019469053763195986,17.027233345238262
74,114576,0.03652501106262207,0.03967625325419513,75.98625349998474,1255,440.0,38,60077,0.020762806964585507,16.51625791420204
75,116319,0.1087636947631836,0.03661789821908039,78.83783221244812,1387,572.0,39,61464,0.020051419348190738,17.59322269887619
78,120028,0.1225442886352539,0.03755543675894538,90.27571249008179,1536,528.0,40,63000,0.02105992256353299,17.014677761139758
79,121368,0.06698918342590332,0.033579709103507716,57.61144042015076,1096,44.0,41,64096,0.018839823721099075,19.024184354398173
79,121368,0.07042121887207031,0.03927365073433647,59.78080105781555,1001,132.0,42,65097,0.02029102903741461,16.744682737508544
83,126595,0.12195038795471191,0.03786082979597666,90.19197416305542,1534,396.0,43,66631,0.02071879942072106,17.008299179185162
86,130309,0.033103227615356445,0.041798514079272264,76.16717576980591,1230,396.0,44,67861,0.0200178789898632,16.148807704012683
87,131373,0.057804107666015625,0.03880079098236867,170.96330404281616,2925,756.0,45,70786,0.019545394620324813,17.10905172615044
87,131373,0.13021349906921387,0.042479404853723125,88.62036180496216,1406,352.0,46,72192,0.020353675736472076,15.865572401168743
90,134980,0.0648198127746582,0.03710229374212909,77.31813740730286,1371,528.0,47,73563,0.01914599079184946,17.73207420151043
92,138463,0.04617142677307129,0.041292227894426825,96.33798408508301,1577,528.0,48,75140,0.01967550563751782,16.373493453320545
92,138463,0.034407854080200195,0.03937595612851693,78.07153105735779,1294,264.0,49,76434,0.020852923209000222,16.574698140433316
93,141054,0.0622105598449707,0.03835952871947119,92.89272117614746,1576,440.0,50,78010,0.020465765810254867,16.96594173404906
97,149211,0.04483771324157715,0.03798264668213589,110.39534163475037,1922,660.0,51,79932,0.01935570780866228,17.410278209663986
99,152164,0.028426170349121094,0.03982723795849344,105.833167552948,1748,660.0,52,81680,0.020621928388521383,16.516662325800688
